,end_date,Name,Market value,Share,symbol,revenues_x,op_income_x,net_income_x,eps_basic_x,eps_diluted_x,dividend_x,assets_x,cur_assets_x,cur_liab_x,cash_x,equity_x,cash_flow_op_x,cash_flow_inv_x,cash_flow_fin_x
291,201509,FACEBOOK INC,962133,10702259,FB,4501000000.0,1459000000.0,891000000.0,0.32,0.31,0.0,46469000000.0,19139000000.0,1792000000.0,4308000000.0,41420000000.0,5772000000.0,-6708000000.0,1028000000.0
277,201512,FACEBOOK INC,1024131,9785312,FB,17928000000.0,6225000000.0,3669000000.0,1.31,1.29,0.0,49407000000.0,21652000000.0,1925000000.0,4907000000.0,44218000000.0,8599000000.0,-9434000000.0,1582000000.0
275,201603,FACEBOOK INC,1302281,11413508,FB,5382000000.0,2009000000.0,1505000000.0,0.53,0.52,0.0,52075000000.0,23812000000.0,1809000000.0,6456000000.0,47150000000.0,2983000000.0,-1676000000.0,184000000.0
283,201606,FACEBOOK INC,1250365,10941237,FB,6436000000.0,2746000000.0,2048000000.0,0.72,0.71,0.0,55739000000.0,27010000000.0,2211000000.0,5108000000.0,50383000000.0,6181000000.0,-6647000000.0,655000000.0
285,201609,FACEBOOK INC,801231,6246441,FB,7011000000.0,3122000000.0,2373000000.0,0.83,0.82,0.0,59674000000.0,30328000000.0,2595000000.0,6038000000.0,54115000000.0,9758000000.0,-9764000000.0,1106000000.0
287,201612,FACEBOOK INC,682006,5927908,FB,27638000000.0,12427000000.0,10188000000.0,3.56,3.49,0.0,64961000000.0,34401000000.0,2875000000.0,8903000000.0,59194000000.0,16108000000.0,-11739000000.0,-310000000.0
296,201703,FACEBOOK INC,725351,5106308,FB,8032000000.0,3327000000.0,3059000000.0,1.06,1.04,0.0,68714000000.0,36930000000.0,2928000000.0,7104000000.0,62188000000.0,5058000000.0,-5891000000.0,-992000000.0
274,201706,FACEBOOK INC,931252,6168049,FB,9321000000.0,4401000000.0,3890000000.0,1.34,1.32,0.0,73843000000.0,40804000000.0,3315000000.0,6252000000.0,66481000000.0,10418000000.0,-11331000000.0,-1861000000.0
295,201709,FACEBOOK INC,859862,5032256,FB,10328000000.0,5122000000.0,4704000000.0,1.62,1.59,0.0,78998000000.0,44203000000.0,3305000000.0,7201000000.0,71208000000.0,16545000000.0,-15045000000.0,-3392000000.0
280,201712,FACEBOOK INC,776503,4400447,FB,40653000000.0,20203000000.0,15920000000.0,5.49,5.39,0.0,84524000000.0,48563000000.0,3760000000.0,8079000000.0,74347000000.0,24216000000.0,-20038000000.0,-5235000000.0
